trial,adjust,score,label,group,repaired_score
0,-1.0,7.0,0,white,6.0
0,-1.0,56.5,1,white,55.5
0,-0.5,11.5,0,white,11.0
0,-0.5,70.0,1,white,69.5
0,31.0,13.0,0,black,44.0
0,42.0,21.0,0,black,63.0
0,-0.5,15.5,0,white,15.0
0,0.0,96.5,1,white,96.5
0,0.0,72.5,1,white,72.5
0,35.5,19.5,0,black,55.0
0,0.5,93.0,1,white,93.5
0,-0.5,3.0,0,white,2.5
0,0.5,88.5,1,white,89.0
0,-0.5,73.0,1,white,72.5
0,-0.5,24.0,1,white,23.5
0,35.0,18.5,0,black,53.5
0,0.5,14.0,0,white,14.5
0,-0.5,55.5,1,white,55.0
0,0.0,2.5,0,white,2.5
0,44.0,32.5,1,black,76.5
0,0.0,57.0,1,white,57.0
0,-0.5,73.5,1,white,73.0
0,-0.5,42.0,1,white,41.5
0,1.0,87.5,1,white,88.5
0,-0.5,65.5,1,white,65.0
0,-0.5,73.5,1,white,73.0
0,24.0,53.5,1,hispanic,77.5
0,0.0,64.0,1,white,64.0
0,44.5,25.0,1,black,69.5
0,-0.5,73.0,0,white,72.5
0,-1.0,67.0,1,white,66.0
0,28.0,12.0,0,black,40.0
0,-0.5,22.5,1,white,22.0
0,-1.0,28.0,0,white,27.0
0,13.5,11.5,1,hispanic,25.0
0,0.0,60.0,1,white,60.0
0,-0.5,35.0,1,white,34.5
0,0.0,81.5,1,white,81.5
0,-0.5,64.5,1,white,64.0
0,-0.5,27.5,0,white,27.0
0,-0.5,34.0,0,white,33.5
0,37.5,51.5,1,black,89.0
0,36.0,54.0,1,black,90.0
0,-1.0,7.0,1,white,6.0
0,0.0,82.5,1,white,82.5
0,0.5,95.5,1,white,96.0
0,1.0,87.5,1,white,88.5
0,0.0,83.0,1,white,83.0
0,24.5,8.0,0,black,32.5
0,0.5,87.0,1,white,87.5
0,-0.5,43.5,1,white,43.0
0,0.0,81.5,1,white,81.5
0,-1.0,53.0,1,white,52.0
0,-0.5,3.0,0,white,2.5
0,20.0,6.0,0,black,26.0
0,25.5,9.0,0,black,34.5
0,-0.5,17.0,0,white,16.5
0,22.0,63.5,1,hispanic,85.5
0,-1.0,75.5,1,white,74.5
0,44.5,32.0,0,black,76.5
0,-1.0,23.0,0,white,22.0
0,0.0,15.0,0,white,15.0
0,0.5,93.0,1,white,93.5
0,0.5,94.5,1,white,95.0
0,42.0,22.0,0,black,64.0
0,0.0,69.5,1,white,69.5
0,44.5,27.0,0,black,71.5
0,0.0,83.0,1,white,83.0
0,27.0,39.0,0,hispanic,66.0
0,0.0,16.5,1,white,16.5
0,-0.5,17.0,0,white,16.5
0,-0.5,15.5,1,white,15.0
0,-0.5,36.0,0,white,35.5
0,2.0,88.0,1,asian,90.0
0,-1.0,78.5,1,white,77.5
0,0.5,96.0,1,white,96.5
0,0.0,11.0,0,white,11.0
0,0.0,32.5,1,white,32.5
0,0.0,60.0,1,white,60.0
0,-1.0,56.5,1,white,55.5
0,-1.0,7.0,0,white,6.0
0,-0.5,55.5,1,white,55.0
0,-0.5,43.0,1,white,42.5
0,0.5,94.0,1,white,94.5
0,38.5,20.0,1,black,58.5
0,-1.0,59.5,1,white,58.5
0,0.0,48.0,1,white,48.0
0,1.0,93.5,1,white,94.5
0,-0.5,35.0,1,white,34.5
0,-0.5,19.5,0,white,19.0
0,0.0,95.0,1,white,95.0
0,35.0,16.0,0,black,51.0
0,0.0,80.0,1,white,80.0
0,6.5,4.5,0,hispanic,11.0
0,16.5,72.5,0,hispanic,89.0
0,0.5,98.0,1,white,98.5
0,0.0,65.0,1,white,65.0
0,-0.5,63.5,1,white,63.0
0,-0.5,75.0,1,white,74.5
0,-0.5,39.5,1,white,39.0
0,0.5,86.0,1,white,86.5
0,0.0,27.0,1,white,27.0
0,0.0,63.0,1,white,63.0
0,-0.5,62.5,1,white,62.0
0,24.5,50.0,1,hispanic,74.5
0,1.5,97.0,1,white,98.5
0,-1.0,71.0,1,white,70.0
0,0.0,41.5,0,white,41.5
0,23.0,32.0,0,hispanic,55.0
0,0.5,88.5,1,white,89.0
0,11.5,8.5,1,hispanic,20.0
0,0.0,96.5,1,white,96.5
0,-0.5,12.5,0,white,12.0
0,-1.0,52.0,0,white,51.0
0,0.0,84.5,1,white,84.5
0,0.0,83.0,1,white,83.0
0,0.5,92.5,1,white,93.0
0,6.0,3.5,0,hispanic,9.5
0,0.0,82.5,1,white,82.5
0,-0.5,47.0,0,white,46.5
0,-0.5,69.0,1,white,68.5
0,-0.5,21.5,0,white,21.0
0,0.0,64.0,1,white,64.0
0,1.0,52.0,1,asian,53.0
0,0.5,94.5,1,white,95.0
0,-0.5,22.5,0,white,22.0
0,0.0,79.5,1,white,79.5
0,44.0,32.5,1,black,76.5
0,0.5,92.0,1,white,92.5
0,-1.0,33.5,1,white,32.5
0,0.0,39.0,1,white,39.0
0,7.0,4.0,0,hispanic,11.0
0,-0.5,78.0,1,white,77.5
0,27.0,38.0,0,hispanic,65.0
0,-1.0,56.5,1,white,55.5
0,22.5,71.0,1,black,93.5
0,-0.5,43.0,1,white,42.5
0,0.0,45.5,1,white,45.5
0,0.0,96.5,1,white,96.5
0,-0.5,53.5,0,white,53.0
0,-0.5,72.0,1,white,71.5
0,-1.0,22.0,0,white,21.0
0,19.5,5.5,0,black,25.0
0,-0.5,61.5,1,white,61.0
0,-1.0,24.5,0,white,23.5
0,1.0,86.5,1,white,87.5
0,0.5,95.5,1,white,96.0
0,-2.0,14.0,0,asian,12.0
0,26.0,9.5,0,black,35.5
0,0.0,96.5,1,white,96.5
0,10.0,86.5,1,black,96.5
0,-0.5,47.0,1,white,46.5
0,0.5,81.0,1,white,81.5
0,0.0,20.0,0,white,20.0
0,1.0,87.5,1,white,88.5
0,0.5,37.0,1,white,37.5
0,0.0,3.5,0,white,3.5
0,-0.5,72.0,1,white,71.5
0,-4.5,25.5,1,asian,21.0
0,38.5,20.0,0,black,58.5
0,14.0,82.0,1,black,96.0
0,0.0,32.5,1,white,32.5
0,-0.5,73.5,1,white,73.0
0,-0.5,5.5,0,white,5.0
0,0.5,86.0,1,white,86.5
0,2.5,60.5,1,asian,63.0
0,-0.5,80.5,1,white,80.0
0,0.0,47.5,0,white,47.5
0,0.0,76.5,1,white,76.5
0,0.0,25.0,1,white,25.0
0,-1.0,71.0,1,white,70.0
0,-0.5,64.5,1,white,64.0
0,1.5,57.0,1,asian,58.5
0,-0.5,77.5,1,white,77.0
0,5.0,1.0,0,black,6.0
0,-0.5,52.5,1,white,52.0
0,25.0,35.0,1,hispanic,60.0
0,-1.0,45.0,1,white,44.0
0,9.0,5.5,0,hispanic,14.5
0,0.0,48.0,1,white,48.0
0,-0.5,20.5,0,white,20.0
0,33.5,14.0,0,black,47.5
0,2.5,1.0,0,hispanic,3.5
0,22.5,29.5,0,hispanic,52.0
0,0.0,82.5,1,white,82.5
0,3.5,93.0,1,hispanic,96.5
0,0.5,94.5,1,white,95.0
0,27.0,38.0,0,hispanic,65.0
0,-1.0,41.0,1,white,40.0
0,0.0,15.0,1,white,15.0
0,24.5,51.0,1,hispanic,75.5
0,-0.5,34.0,1,white,33.5
0,0.5,37.0,1,white,37.5
0,-1.0,24.5,0,white,23.5
0,-0.5,36.0,1,white,35.5
0,0.0,27.0,1,white,27.0
0,-1.0,45.0,1,white,44.0
0,0.0,76.5,1,white,76.5
0,17.0,5.0,0,black,22.0
0,-0.5,60.5,1,white,60.0
0,0.0,57.0,1,white,57.0
0,0.0,72.5,1,white,72.5
0,-0.5,77.5,1,white,77.0
0,-2.5,17.0,1,asian,14.5
0,0.0,3.5,0,white,3.5
0,0.5,93.0,1,white,93.5
0,-0.5,18.0,0,white,17.5
0,0.0,20.0,0,white,20.0
0,0.0,6.0,0,white,6.0
0,-0.5,56.0,1,white,55.5
0,-0.5,74.5,1,white,74.0
0,0.0,32.5,0,white,32.5
0,-1.0,33.5,1,white,32.5
0,-0.5,17.0,0,white,16.5
0,-0.5,63.5,1,white,63.0
0,0.0,16.5,0,white,16.5
0,0.0,17.5,0,white,17.5
0,0.0,50.0,1,white,50.0
0,-0.5,20.5,0,white,20.0
0,42.5,36.0,1,black,78.5
0,-1.0,29.0,0,white,28.0
0,0.0,76.5,1,white,76.5
0,0.0,50.0,1,white,50.0
0,0.5,89.5,1,white,90.0
0,-0.5,65.5,1,white,65.0
0,-0.5,70.5,1,white,70.0
0,31.0,13.0,0,black,44.0
0,27.0,38.0,1,hispanic,65.0
0,27.0,11.0,1,black,38.0
0,-1.0,52.0,1,white,51.0
0,-1.0,44.0,1,white,43.0
0,-0.5,0.5,0,white,0.0
0,0.0,37.5,1,white,37.5
0,-1.0,26.0,0,white,25.0
0,-1.0,74.0,1,white,73.0
0,-0.5,66.5,1,white,66.0
0,-0.5,34.0,1,white,33.5
0,-0.5,70.5,1,white,70.0
0,0.5,88.5,1,white,89.0
0,0.0,36.5,1,white,36.5
0,-0.5,57.5,1,white,57.0
0,0.5,45.0,1,asian,45.5
0,19.5,5.5,0,black,25.0
0,0.5,93.0,1,white,93.5
0,0.0,72.5,1,white,72.5
0,-0.5,43.0,1,white,42.5
0,44.5,28.5,0,black,73.0
0,0.5,81.0,1,white,81.5
0,0.5,91.0,1,white,91.5
0,-0.5,28.5,1,white,28.0
0,0.0,66.0,1,white,66.0
0,-0.5,74.5,1,white,74.0
0,-0.5,40.5,1,white,40.0
0,-1.0,18.5,1,white,17.5
0,-0.5,24.0,0,white,23.5
0,1.0,93.5,1,white,94.5
0,0.0,84.0,1,white,84.0
0,21.0,26.5,1,hispanic,47.5
0,0.0,76.5,1,white,76.5
0,-1.0,22.0,0,white,21.0
0,25.0,35.0,1,hispanic,60.0
0,9.0,2.0,0,black,11.0
0,-1.0,61.0,1,white,60.0
0,-0.5,63.5,1,white,63.0
0,45.0,29.0,0,black,74.0
0,0.5,91.5,1,white,92.0
0,-1.0,74.0,1,white,73.0
0,0.0,77.0,1,white,77.0
0,-1.0,28.0,1,white,27.0
0,41.5,41.5,1,black,83.0
0,34.5,15.5,0,black,50.0
0,42.0,21.0,0,black,63.0
0,0.0,62.0,1,white,62.0
0,0.0,38.0,1,white,38.0
0,0.5,85.0,1,white,85.5
0,0.0,49.0,1,white,49.0
0,-1.0,75.5,1,white,74.5
0,0.0,38.0,1,white,38.0
0,0.0,96.5,1,white,96.5
0,16.0,14.0,1,hispanic,30.0
0,0.0,69.5,1,white,69.5
0,0.0,1.0,0,white,1.0
0,0.0,40.0,1,white,40.0
0,-1.0,52.0,0,white,51.0
0,26.5,11.5,0,black,38.0
0,15.0,13.0,0,hispanic,28.0
0,-0.5,79.0,1,white,78.5
0,-0.5,58.5,1,white,58.0
0,0.5,94.5,1,white,95.0
0,35.0,18.0,0,black,53.0
0,-0.5,29.5,1,white,29.0
0,-0.5,24.0,1,white,23.5
0,0.5,92.0,1,white,92.5
0,3.5,62.5,1,asian,66.0
0,-0.5,66.5,1,white,66.0
0,-0.5,78.0,1,white,77.5
0,-0.5,11.5,0,white,11.0
0,15.5,13.5,0,hispanic,29.0
0,0.0,42.5,1,white,42.5
0,1.0,93.5,1,white,94.5
0,0.0,41.5,1,white,41.5
0,-0.5,49.5,1,white,49.0
0,0.0,60.0,1,white,60.0
0,-0.5,59.0,1,white,58.5
0,38.5,50.0,1,black,88.5
0,0.5,88.5,1,white,89.0
0,8.0,86.5,1,hispanic,94.5
0,0.0,39.0,1,white,39.0
0,-0.5,25.5,0,white,25.0
0,23.0,32.0,0,hispanic,55.0
0,0.5,89.5,1,white,90.0
0,-1.0,29.0,0,white,28.0
0,-0.5,43.0,1,white,42.5
0,0.5,88.5,1,white,89.0
0,3.5,78.0,1,asian,81.5
0,-1.0,33.5,1,white,32.5
0,38.5,20.0,0,black,58.5
0,0.0,64.0,1,white,64.0
0,-0.5,8.0,0,white,7.5
0,-0.5,58.5,1,white,58.0
0,0.0,12.0,0,white,12.0
0,0.5,0.5,0,black,1.0
0,-1.0,71.0,1,white,70.0
0,-0.5,43.5,1,white,43.0
0,15.0,80.0,1,black,95.0
0,0.0,27.0,1,white,27.0
0,-1.0,74.0,1,white,73.0
0,-0.5,67.5,1,white,67.0
0,23.0,30.0,0,hispanic,53.0
0,-0.5,0.5,0,white,0.0
0,0.0,6.0,0,white,6.0
0,0.0,62.0,1,white,62.0
0,-0.5,28.5,0,white,28.0
0,0.0,45.5,1,white,45.5
0,0.0,55.0,1,white,55.0
0,43.5,38.0,1,black,81.5
0,-1.0,29.0,1,white,28.0
0,0.5,92.5,1,white,93.0
0,-0.5,53.5,1,white,53.0
0,1.0,89.0,1,white,90.0
0,0.0,16.5,0,white,16.5
0,-0.5,40.5,1,white,40.0
0,-0.5,35.0,1,white,34.5
0,-0.5,58.5,1,white,58.0
0,-1.0,78.5,1,white,77.5
0,22.0,31.5,0,hispanic,53.5
0,-0.5,3.0,0,white,2.5
0,16.0,74.0,1,hispanic,90.0
0,21.0,26.5,0,hispanic,47.5
0,0.0,37.5,1,white,37.5
0,-0.5,73.5,1,white,73.0
0,-0.5,57.5,1,white,57.0
0,26.5,40.5,1,hispanic,67.0
0,0.5,37.0,0,white,37.5
0,9.0,87.5,1,black,96.5
0,11.5,8.5,0,hispanic,20.0
0,-0.5,35.0,1,white,34.5
0,0.0,81.5,1,white,81.5
0,-1.0,52.0,1,white,51.0
0,0.5,2.0,0,white,2.5
0,0.0,57.0,1,white,57.0
0,0.5,92.5,1,white,93.0
0,38.5,20.0,0,black,58.5
0,-0.5,18.0,0,white,17.5
0,0.5,14.0,0,white,14.5
0,-1.0,41.0,1,white,40.0
0,1.0,93.5,1,white,94.5
0,-0.5,42.0,1,white,41.5
0,23.5,54.0,1,hispanic,77.5
0,-1.0,33.5,1,white,32.5
0,-0.5,74.5,1,white,74.0
0,-0.5,3.0,0,white,2.5
0,-1.0,28.0,0,white,27.0
0,17.5,77.5,1,black,95.0
0,-0.5,26.5,0,white,26.0
0,18.0,70.5,1,hispanic,88.5
0,43.0,38.5,0,black,81.5
0,-0.5,42.0,1,white,41.5
0,25.0,36.0,0,hispanic,61.0
0,1.0,93.5,1,white,94.5
0,-0.5,72.0,1,white,71.5
0,0.0,5.0,0,white,5.0
0,-1.0,74.0,1,white,73.0
0,-1.0,4.5,0,white,3.5
0,0.0,15.0,0,white,15.0
0,0.0,5.0,0,white,5.0
0,43.0,35.5,0,black,78.5
0,0.0,96.5,1,white,96.5
0,0.5,96.0,1,white,96.5
0,5.0,1.0,0,black,6.0
0,0.0,96.5,1,asian,96.5
0,-1.0,31.0,1,white,30.0
0,-0.5,46.0,1,white,45.5
0,-1.0,26.0,1,white,25.0
0,-0.5,34.0,1,white,33.5
0,0.0,20.0,1,white,20.0
0,0.5,96.0,1,white,96.5
0,0.0,47.5,1,white,47.5
0,-1.0,44.0,1,white,43.0
0,-0.5,49.5,1,white,49.0
0,1.0,93.5,1,white,94.5
0,-0.5,10.0,0,white,9.5
0,-0.5,5.5,0,white,5.0
0,-0.5,58.5,1,white,58.0
0,-0.5,5.5,0,white,5.0
0,-1.0,26.0,0,white,25.0
0,18.0,15.5,0,hispanic,33.5
0,-1.0,23.0,0,white,22.0
0,-0.5,44.5,1,white,44.0
0,39.5,48.0,0,black,87.5
0,-0.5,38.5,1,white,38.0
0,0.0,21.0,1,white,21.0
0,0.5,93.0,1,white,93.5
0,0.0,5.0,0,white,5.0
0,-0.5,58.5,1,white,58.0
0,9.0,2.0,0,black,11.0
0,-1.0,44.0,1,white,43.0
0,-0.5,47.0,1,white,46.5
0,0.5,85.0,1,asian,85.5
0,0.0,1.0,0,white,1.0
0,0.0,85.5,1,white,85.5
0,-0.5,33.0,0,white,32.5
0,-0.5,1.5,0,white,1.0
0,0.0,46.5,1,white,46.5
0,-0.5,70.5,1,white,70.0
0,0.5,91.0,1,white,91.5
0,-1.0,52.0,1,white,51.0
0,0.0,3.5,0,white,3.5
0,0.0,1.0,1,white,1.0
0,0.0,41.5,0,white,41.5
0,0.0,72.5,1,white,72.5
0,0.5,37.0,1,white,37.5
0,-0.5,36.0,0,white,35.5
0,45.0,28.0,1,black,73.0
0,2.0,76.5,1,asian,78.5
0,0.0,84.0,1,white,84.0
0,0.5,9.0,0,white,9.5
0,-1.0,29.0,0,white,28.0
0,11.0,2.5,0,black,13.5
0,0.0,63.0,1,white,63.0
0,-0.5,43.0,1,asian,42.5
0,2.0,68.0,1,asian,70.0
0,7.0,4.0,0,hispanic,11.0
0,-0.5,70.0,1,white,69.5
0,-1.0,56.5,1,white,55.5
0,23.0,7.0,0,black,30.0
0,0.5,88.5,1,white,89.0
0,38.5,20.0,0,black,58.5
0,13.0,3.5,0,black,16.5
0,-0.5,63.5,1,white,63.0
0,22.0,29.0,1,hispanic,51.0
0,0.5,92.5,1,white,93.0
0,-0.5,63.5,1,white,63.0
0,-0.5,26.5,1,white,26.0
0,-0.5,43.0,1,white,42.5
0,8.0,1.5,0,black,9.5
0,0.0,48.0,1,white,48.0
0,0.0,62.0,1,white,62.0
0,19.0,21.0,0,hispanic,40.0
0,0.5,45.0,1,asian,45.5
0,40.5,45.0,1,black,85.5
0,5.5,90.5,1,hispanic,96.0
0,0.0,48.0,1,white,48.0
0,-0.5,19.5,0,white,19.0
0,0.5,92.0,1,white,92.5
0,0.0,50.0,1,white,50.0
0,-0.5,44.5,1,white,44.0
0,0.5,87.0,1,white,87.5
0,39.5,49.0,1,black,88.5
0,0.0,63.0,0,white,63.0
0,0.5,85.0,1,white,85.5
0,0.0,37.5,0,white,37.5
0,-1.0,61.0,1,white,60.0
0,20.5,26.0,1,hispanic,46.5
0,-0.5,25.5,1,white,25.0
0,0.0,96.5,1,white,96.5
0,-0.5,15.5,1,white,15.0
0,0.5,93.0,1,white,93.5
0,-0.5,56.0,1,white,55.5
0,0.0,27.0,0,white,27.0
0,-3.5,13.0,0,asian,9.5
0,1.0,89.0,1,white,90.0
0,0.0,34.5,0,white,34.5
0,-1.0,41.0,1,white,40.0
0,20.5,74.0,1,black,94.5
0,0.0,80.0,1,white,80.0
0,0.0,80.0,1,white,80.0
0,0.0,58.0,1,white,58.0
0,0.0,55.0,1,white,55.0
0,0.0,65.0,1,white,65.0
0,18.0,17.5,0,hispanic,35.5
0,-0.5,49.5,1,white,49.0
0,-0.5,67.5,1,white,67.0
0,0.0,27.0,1,white,27.0
0,-0.5,70.5,1,white,70.0
0,-0.5,63.5,1,white,63.0
0,2.0,90.5,1,asian,92.5
0,1.0,47.0,1,asian,48.0
0,1.0,87.5,1,white,88.5
0,43.5,38.0,0,black,81.5
0,0.0,64.0,1,white,64.0
0,1.5,97.0,1,white,98.5
0,8.5,6.5,0,hispanic,15.0
0,-0.5,53.5,1,white,53.0
0,-0.5,18.0,0,white,17.5
0,-1.0,52.0,1,white,51.0
0,0.0,84.0,1,white,84.0
0,0.0,37.5,1,white,37.5
0,-1.0,22.0,0,white,21.0
0,0.0,34.5,1,white,34.5
0,-0.5,53.5,1,white,53.0
0,9.0,2.0,0,black,11.0
0,-0.5,39.5,1,white,39.0
0,-0.5,73.5,1,white,73.0
0,2.0,89.0,1,asian,91.0
0,0.0,2.5,0,white,2.5
0,-1.0,24.5,0,white,23.5
0,0.0,5.0,0,white,5.0
0,-0.5,51.5,1,white,51.0
0,-1.0,74.0,1,white,73.0
0,14.0,12.0,0,hispanic,26.0
0,0.5,83.5,1,white,84.0
0,1.5,75.0,1,asian,76.5
0,-0.5,65.5,1,white,65.0
0,25.0,36.0,1,hispanic,61.0
0,38.5,20.0,0,black,58.5
0,0.0,1.0,0,white,1.0
0,0.0,80.0,0,white,80.0
0,-0.5,67.5,1,white,67.0
0,5.0,1.0,1,black,6.0
0,0.0,77.0,1,white,77.0
0,0.0,36.5,1,white,36.5
0,-0.5,70.5,1,white,70.0
0,2.0,81.0,1,asian,83.0
0,-1.0,68.0,1,white,67.0
0,0.0,15.0,1,white,15.0
0,-1.0,45.0,1,white,44.0
0,26.0,9.5,0,black,35.5
0,0.0,80.0,1,white,80.0
0,0.0,84.5,1,white,84.5
0,0.0,84.0,1,white,84.0
0,0.0,20.0,0,white,20.0
0,-0.5,20.5,1,white,20.0
0,0.0,5.0,0,white,5.0
0,-0.5,58.5,1,white,58.0
0,0.0,95.0,1,white,95.0
0,-0.5,43.0,1,white,42.5
0,-2.5,17.0,0,asian,14.5
0,21.5,6.5,0,black,28.0
0,0.5,95.5,1,white,96.0
0,-1.0,44.0,1,white,43.0
0,-0.5,33.0,1,white,32.5
0,1.0,86.5,1,white,87.5
0,24.0,52.5,1,hispanic,76.5
0,45.0,27.5,0,black,72.5
0,0.0,81.5,1,white,81.5
0,0.5,94.5,1,white,95.0
0,43.0,24.0,0,black,67.0
0,0.0,27.0,1,white,27.0
0,-0.5,62.5,1,white,62.0
0,-1.0,28.0,0,white,27.0
0,37.5,51.5,1,black,89.0
0,0.0,76.5,1,white,76.5
0,-0.5,17.0,0,white,16.5
0,-0.5,28.5,1,white,28.0
0,-0.5,0.5,0,white,0.0
0,23.5,56.0,1,hispanic,79.5
0,0.5,9.0,0,white,9.5
0,-0.5,80.5,1,white,80.0
0,0.0,66.0,1,white,66.0
0,-0.5,11.5,0,white,11.0
0,-0.5,18.0,0,white,17.5
0,-0.5,42.0,1,white,41.5
0,-0.5,4.0,0,white,3.5
0,-0.5,64.5,1,white,64.0
0,-0.5,36.0,1,white,35.5
0,23.5,69.5,1,black,93.0
0,0.5,94.0,1,white,94.5
0,-0.5,25.5,1,white,25.0
0,0.0,96.5,1,white,96.5
0,0.5,88.0,1,white,88.5
0,25.0,57.5,1,hispanic,82.5
0,-0.5,73.5,1,white,73.0
0,0.5,91.5,1,white,92.0
0,0.0,64.0,1,white,64.0
0,0.0,96.5,1,white,96.5
0,0.5,95.5,1,white,96.0
0,0.0,41.5,1,white,41.5
0,20.0,24.0,0,hispanic,44.0
0,21.5,6.5,0,black,28.0
0,-1.0,33.5,0,white,32.5
0,0.5,85.0,1,white,85.5
0,0.0,15.0,0,white,15.0
0,0.5,14.0,0,white,14.5
0,-0.5,17.0,0,white,16.5
0,-0.5,62.5,1,white,62.0
0,-0.5,15.5,0,white,15.0
0,0.5,82.0,1,white,82.5
0,0.5,94.5,1,white,95.0
0,-0.5,43.0,0,white,42.5
0,0.5,94.5,1,white,95.0
0,1.0,93.5,1,asian,94.5
0,0.5,82.0,1,white,82.5
